Question_ID,Category,Question,Ground_Truth_Answer,Real_LLaMA_Answer,Retrieved_Passages,Retrieved_Distances,Retrieved_Sources
AA169,Aggression,"As a caregiver, I've been noticing some aggressive behavior in my loved one with dementia. Could you let me know about common factors that might trigger such behaviour?","Aggressive behavior in dementia can result from a variety of factors. Common triggers include:

1. Environmental Factors: Loud noise, clutter, or a large number of people in the room can cause agitation.
2. Physical Discomfort: They could be hungry, tired, in pain, or need to use the bathroom.
3. Health Problems: Infections or illnesses can worsen dementia symptoms and trigger aggression.
4. Difficulty with Complex Tasks: Frustration from tasks like getting dressed can lead to outbursts.
5. Poor Communication: If they are unable to understand you or express their feelings, aggression can result.
6. Changes in Routine: People with dementia may become upset if their daily routine is changed.
7. Fear and Anxiety: Dementia can make the world a confusing place, causing fear which they respond to with aggression.

As a caregiver, understanding these triggers can be beneficial in avoiding or reducing aggressive behaviors.","As a caregiver, it's essential to understand that dementia can cause aggressive behavior, especially as the disease progresses [1]. Frustrating situations or physical discomfort can trigger such behavior [3]. Additionally, people with dementia may exhibit personality changes and habits that were not present before [2].

It's crucial to recognize that aggression in dementia is often a result of the person's inability to communicate their needs effectively. Understanding this can help caregivers respond more compassionately.

Supporting context indices: [1], [2], [3]","[""Can  dementia  cause  aggressive  behaviour?  As  a  person’s  dementia  progresses,  they  may  sometimes  behave  in  ways  \nthat\n \nare\n \nphysically\n \nor\n \nverbally\n \naggressive.\n \nThis  can  be  very  distressing  for  the  person  and  for  those  around  them.  \nLooking\n \nat\n \nwhat\n \ncauses\n \nthis\n \nbehaviour\n \nand\n \nbeing\n \naware\n \nof\n \nthe\n "", ""Aggression  may  be  linked  to  the  person’s  personality  and  behaviour  \nbefore\n \nthey\n \ndeveloped\n \ndementia.\n \nHowever,\n \npeople\n \nwho\n \nhave\n \nnever\n \nbeen\n \naggressive\n \nbefore\n \nmay\n \nalso\n \ndevelop\n \nthis\n \ntype\n \nof\n \nbehaviour.\n \nDementia\n \ncan\n \naffect\n \na\n \nperson’s\n \npersonality\n \nand\n \nhabits.\n \nKnowing  the  person  –  how  they  "", ""Aggressive  behaviors  may  be  verbal  or  physical.  They  can  \noccur\n \nsuddenly,\n \nwith\n \nno\n \napparent\n \nreason,\n \nor\n \nresult\n \nfrom\n \na\n \nfrustrating\n \nsituation.\n \nWhile\n \naggression\n \ncan\n \nbe\n \nhard\n \nto\n \ncope\n \nwith,\n \nunderstanding\n \nthat\n \nthe\n \nperson\n \nwith\n \nAlzheimer's\n \nor\n \ndementia\n \nis\n \nnot\n \nacting\n \nthis\n \nway\n \non\n \npurpos""]","[0.35828351974487305, 0.41299864649772644, 0.4893752634525299]","[""Aggression Dementia.pdf"", ""Aggression Dementia.pdf"", ""Dementia Aggression 3 (1).pdf""]"
AA092,Alcohol intake,What could be the possible negative impacts of consuming alcohol for a family member who has Mild Cognitive Impairment?,"Consuming alcohol can exacerbate the symptoms of Mild Cognitive Impairment (MCI). Alcohol has a neurotoxic effect which can lead to further cognitive decline. It can accelerate memory loss, impair judgment, and increase confusion. Regular or heavy consumption of alcohol can also lead to an increased risk of progression from MCI to dementia. Additionally, alcohol can interact negatively with medications commonly prescribed for MCI, potentially reducing their efficacy or causing undesirable side effects. Overall, it can detrimentally impact the person's cognition, functioning, and quality of life. It's advisable for a person with MCI to limit or avoid alcohol for their health and well-being.","Consuming excessive alcohol can exacerbate Mild Cognitive Impairment (MCI), increasing the risk of cognitive decline and dementia [1]. This is because alcohol use disorders can lead to behavioral and psychological interventions that may not be effective in treating MCI, and pharmacological interventions may have unintended consequences.

Additionally, excessive drinking can lead to frailty, which is also a risk factor for developing age-related conditions such as dementia. Reducing alcohol consumption can help minimize the risk of these conditions [2].

Reducing excessive alcohol consumption can help mitigate these negative impacts.

Supporting context indices:
[1]
[2]","[""22  Risk reduction of cognitive decline and dementia: WHO guidelines\nPopulation: \nAdults with normal cognition or MCI and \nexcessive use of alcohol\nIntervention:  \n•   Behavioural and psychological \ninterventions to treat alcohol use disorders \n(e.g. motivational interviewing)\n•   Pharmacological interventions to treat \nalcohol use disorders\nCompar"", ""NICE  Guidelines recommend  that  alcohol  consumption  be  reduced  as  much  as  possible,  particularly  in  mid-life,  to  minimize  the  risk  of  \ndeveloping\n \nage-related\n \nconditions\n \nsuch\n \nas\n \nfrailty\n \nand\n \ndementia.\n \nModerate  drinking  and  dementia  \nrisk\n \nHide  \nA  small  number  of  studies  seem  to  suggest  that  drinking  m"", ""What’s the risk? What can you do to reduce the risk?\nExcessive alcohol consumption\nDrinking excessively (more than 12 \nstandard drinks per week), can increase \nyour risk of developing dementia. \nA “standard drink” means:\n• 341 ml/ 12oz (one bottle) of beer (5% alcohol)\n• 142ml/5 oz wine (12% alcohol)\n• 43 ml/11/2 oz spirit (40% alcohol)\nDrinking ma""]","[0.6226084232330322, 0.6514769792556763, 0.634578287601471]","[""Risk Reduction WHO guidelines.pdf"", ""Alcohol and the risk of dementia.pdf"", ""Risk-factors_Alzheimer-Society-Canada-2023.pdf""]"
AA154,Anxiety,What are the typical symptoms of anxiety I should look out for in my family member who has dementia?,"Typical symptoms of anxiety in a person with dementia may include: restlessness or pacing, unexplained agitation or irritability, sleep disturbances, sudden mood changes, excessive worrying or fear, avoidance of social interaction, changes in eating habits, or increase in repetitive behaviors. In severe cases, they can also have panic attacks. It's essential to consult a healthcare professional if you notice these symptoms as combined they could indicate anxiety which needs appropriate treatment.","Typical symptoms of anxiety in individuals with dementia include feeling constantly ""on edge"", problems concentrating, irritability, dizziness, difficulty sleeping, heart palpitations, tense or achy muscles, trembling, sweating, stomach ache or nausea, and headaches.

These physical symptoms can be distressing for both the individual with dementia and their caregivers. It is essential to recognize these signs to provide appropriate support and care.

Supporting context indices:
[1]
[2]","[""15\nSupporting a person with dementia who has depression, anxiety or apathy\nSpace for  \nyour notes\n5 Seeing a doctor\nA person with dementia should talk to a healthcare professional, \nsuch as their GP, if they are concerned about feeling low or \nanxious. If they’re unable to do this by themselves, a family \nmember or carer can do it for them. \nA heal"", ""Copyright © 2017 Korean Dementia Association  33\nINTRODUCTION\nFor the past years, dementia is growing health problem. A \nserious and common complications of dementia is occurrence \nof neuropsychiatric and behavioral problems. Among them, \nanxiety symptoms in this population have received little at-\ntention.1 Anxiety, however, is common symptoms in "", ""●  a  sense  of  dread  or  things  being  out  of  control  ●  feeling  constantly  ‘on  edge’  ●  problems  concentrating  ●  irritability  \nPhysical  symptoms  include:  \n●  dizziness  ●  difficulty  sleeping  ●  heart  palpitations  ●  tense  or  achy  muscles  ●  trembling  ●  sweating  ●  stomach  ache  or  nausea  ●  headaches  ●  pins  and ""]","[0.6157941222190857, 0.578004777431488, 0.614766001701355]","[""444LP - supporting a person with dementia who had depression, anxiety or apathy.pdf"", ""dnd-16-33.pdf"", ""DementiaUK Anxiety.pdf""]"
AA164,Apathy,What are the usual indications of apathy in a family member who has dementia?,"Apathy in a family member with dementia can manifest in several ways, including:

1. Lack of interest: They might show no interest in their usual activities or hobbies, or in interacting with family and friends.
2. Reduced social interaction: They may avoid or have no desire for social contact or conversation.
3. Emotionless demeanor: They might not express emotions or feelings as they used to - often appearing indifferent or unmotivated.
4. Reduced activity: They may not engage in as much physical activity, even tasks they previously enjoyed or did regularly.
5. Lack of initiative: They might not start actions or tasks on their own, needing prompting from others and even then they might not respond.
Remember that such symptoms could be due to other factors, so it’s always recommended to consult a healthcare professional for an accurate diagnosis.","Apathy in a family member with dementia is characterized by passivity, lack of interest or enthusiasm, and trouble coming up with ideas for activities. They may rely on others to come up with things to do, indicating a loss of motivation and initiative [1]. People with dementia may also lose interest in activities they once enjoyed, suggesting a decline in their usual level of engagement.

Supporting context indices: [1]","[""Apathy, or indiﬀerence, is deﬁned as passivity and a lack of interest or enthusiasm. People\nwith dementia may lose interest in activities or hobbies they once found interesting and fun.\nThey often have trouble coming up with ideas for activities and may rely more on others to\ncome up with things to do. Apathy is one of the most common symptoms of d"", ""It  is  important  to  diagnose  depression  in  people  with  dementia  \nbecause\n \ndepression\n \nmay\n \nrespond\n \nto\n \ntreatment.\n \nThe  symptoms  of  depression  can  be  similar  to  symptoms  of  \ndementia.\n \nTherefore,\n \nit\n \nis\n \noften\n \ndifficult\n \nto\n \nidentify\n \ndepression\n \nin\n \npeople\n \nwith\n \ndementia.\n \nThere\n \nare\n \nsome\n \ncommon\n \nsign"", ""Suggest new experiences. Keep them short and achievable so your loved one doesn’t become overwhelmed. \n\nReassure your loved one to take action independently and provide positive feedback for what they do.\n\nMost importantly, don’t criticize your loved one or emphasize their struggles or failures. Their inability to carry out their usual activities i""]","[0.4379676878452301, 0.47104236483573914, 0.41165608167648315]","[""Behavior & Personality Changes _ Memory and Aging Center.pdf"", ""Overview.pdf"", ""What is apathy.docx""]"
AA216,Appetite,What strategies can I use to improve the appetite of a family member with dementia?,"1. Maintain regular meal times: Following a routine can help trigger hunger signals.
2. Make meals enjoyable: The dining environment should be quiet, relaxing, and free of distractions.
3. Finger foods: If dexterity is an issue, provide easy-to-handle foods.
4. Hydration: Ensure they're adequately hydrated. Soups and smoothies can offer additional nutrition.
5. Small portions: Large plates can appear overwhelming; try using smaller plates and servings.
6. Strengthen flavors: Dementia can dull taste buds; enhance taste by using herbs, spices, or lemon juice.
7. Prompt eating: Gentle reminders to eat can be helpful. If needed, demonstrate by eating with them.
8. Be patient: Mealtimes may take longer. Don't rush; make sure they chew and swallow safely.
9. Regular dental checkups: Oral discomfort can hinder appetite. Regularly check for dental issues.
10. Consult a dietitian or doctor if appetite doesn't improve or if weight loss occurs. They can provide strategies targeting specific needs and possibly recommend appetite stimulants.","To improve the appetite of a family member with dementia, consider using different tastes, colors, and textures in food presentation [1]. This can help stimulate their senses and make mealtime more engaging. Additionally, knowing the person's life history and routines can be helpful in identifying their individual needs and preferences.

Supporting context indices:

[1] Eating and drinking
[1] Encouraging a person’s appetite","[""11\nEating and drinking\nSpace for  \nyour notes\nEncouraging a person’s appetite \nThere are lots of ways to increase a person’s appetite and interest \nin food and drink. Knowing the person and their life history helps, \nas everyone has their own needs, routines, likes and dislikes. \nHere are some ideas that may help:\n Use different tastes, colours and""]",[0.33462733030319214],"[""factsheet_eating_and_drinking (2).pdf""]"
AA462,Caregiver health risk,"As a caregiver of a family member with dementia, what's the common health risks that caregivers like myself may face?","As a caregiver, especially for someone with dementia, you may face several health risks. These include stress-related conditions such as anxiety, depression, and insomnia, which can lead to more serious complications like heart disease, high blood pressure, or a weakened immune system. Chronic fatigue is common due to the demands of providing round-the-clock care. There's also an increased risk of physical injuries from lifting or assisting your loved one. Lastly, caregivers frequently neglect their own health needs, like skipping their own doctor appointments or not maintaining a balanced diet, which can additionally detriment their health. It's crucial to take care of your own health while caring for a loved one with dementia.","As a caregiver of a family member with dementia, I may face common health risks such as burnout [2] due to the overwhelming strain of balancing caregiving responsibilities with personal needs, work, and social obligations. This can lead to daily stress that takes a toll on my mental health. Additionally, caregivers often experience emotional and physical burdens, which can be particularly challenging when one spouse assumes the role of primary caregiver, leaving the other feeling overwhelmed [3]. These risks highlight the importance of self-care and support for caregivers.

Supporting context indices:

[1], [2], [3]","[""Caregiving  for  dementia  can  have  profound  effects  on  both  the  individual  \nwith\n \ndementia\n \nand\n \ntheir\n \nloved\n \nones.\n \nWhile\n \ndementia\n \nmay\n \naffect\n \nthe\n \nperson\n \ndiagnosed,\n \nthe\n \nemotional,\n \nﬁnancial,\n \nand\n \nphysical\n \nburden\n \non\n \nfamily\n \nmembers\n \nand\n \ncaregivers\n \nis\n \noften\n \noverwhelming.\n \nCaregivers\n \nof\n \nindividu"", ""constant\n \nsupervision.\n \nAs  a  result,  family  caregivers  often  experience  burnout.  The  strain  of  balancing  \ncaregiving\n \nresponsibilities\n \nwith\n \ntheir\n \nown\n \npersonal\n \nneeds,\n \nwork,\n \nand\n \nsocial\n \nobligations\n \ncan\n \ntake\n \na\n \nheavy\n \ntoll\n \non\n \ncaregivers’\n \nmental\n \nhealth.\n \nThe\n \ndaily\n \nstress\n \nof\n \ncaregiving\n \nfor\n \ndem"", ""partnership,  often  leaving  one  spouse  to  assume  the  role  of  primary  caregiver.  \nThis\n \nshift\n \ncan\n \nfeel\n \noverwhelming,\n \nespecially\n \nwhen\n \nthe\n \ncaregiver\n \nmust\n \njuggle\n \ndaily\n \ntasks\n \nlike\n \nmanaging\n \nmedications,\n \nensuring\n \nsafety,\n \nand\n \naddressing\n \nemotional\n \nand\n \nbehavioral\n \nchanges.\n \nInterestingly,\n \nresearch\n \ns""]","[0.574072003364563, 0.5892102718353271, 0.530377209186554]","[""Caregiving for dementia.pdf"", ""Caregiving for dementia.pdf"", ""Caregiving for dementia.pdf""]"
AA119,Cognitive activities,What are some cognitive activities that could potentially benefit my family member who has MCI?,"Cognitive activities can be a helpful approach to slow cognitive decline in individuals with Mild Cognitive Impairment (MCI). Activities that engage the brain can include:

1. Brain-training exercises: Puzzles like crosswords, Sudoku, or memory-focused apps can stimulate the brain.
2. Regular Physical Exercise: Regular activities like walking, biking or yoga can also have cognitive benefits.
3. Social Engagement: Participating in social activities can provide mental stimulation.
4. Reading and Writing: These activities help keep the mind active and engaged.
5. Artistic Activities: Drawing, painting or playing a musical instrument can enhance cognitive function. 

It's important to consult with a physician or a mental health professional for expert guidance tailored to the individual's condition and capabilities.","Engaging in mentally stimulating activities can potentially benefit individuals with Mild Cognitive Impairment (MCI). These activities may include puzzles, brain teasers, or learning a new skill [2]. For example, playing word games like Scrabble or Boggle could help improve memory and cognitive function [2]. Additionally, activities that promote planning and organization, such as scheduling appointments or managing finances, can also be beneficial.

Supporting context indices:
[1], [2]","[""The  journey  toward  a  diagnosis  of  MCI  is  most  often  initiated  by  a  person's  subjective  complaint  \nabout\n \nmemory\n \nand\n \nthinking\n \nproblems\n \nor\n \nby\n \nconcerns\n \nexpressed\n \nby\n \nthose\n \nclosest\n \nto\n \nthe\n \nindividual.\n \nThis\n \nis\n \nan\n \nimportant\n \ndistinction\n \nbecause\n \ncognitive\n \nchanges\n \nthat\n \nare\n \nreadily\n \napparent\n \nt"", ""9\n  forgetting conversations \n  difficulty finding words\n  losing your way in familiar locations \n  increased difficulty with planning things \n  impulsivity \n  poor judgment \n  taking more time to complete complex tasks\nMCI can affect many areas of brain function. To better \nunderstand the anatomy of the brain and how it functions, \nplease v"", ""Mild Cognitive Impairment  \n \n• Forgetting appointments or social events \n• Losing train of thought, thread of conversation \n• Feeling overwhelmed by making decisions, interpreting instructions \n• Having trouble finding your way around familiar environments \n• Becoming more impulsive or showing poor judgment \n• Your family and friends notice  \n• Bu""]","[0.7159403562545776, 0.654292106628418, 0.688559889793396]","[""Harvard.health.pdf"", ""mild-cognitive-impairment-resource-guide-v7.pdf"", ""Spiritual_Care_of_the_Person_with_Dementia_Hicks_no_videos_Jan2017.pdf""]"
AA243,Communication,"As the caregiver of a family member in the late stage of dementia, could you please suggest some effective communication strategies that I can use to communicate with them better?","Communicating with a dementia patient, especially in the late stages, can be challenging. Here are few strategies you can use:

1. Non-verbal Communication: Use eye contact, touch, and body language to express your feelings. This can be more effective when verbal communication may confuse the patient.

2. Simplified Language: Use simple and concise sentences. Speak clearly, slowly, and use a reassuring tone. Avoid asking open-ended questions.

3. Patience and Understanding: Allow the person time to respond. Your patience, reassurance, and understanding can go a long way in communication.

4. Keep Distractions at Minimum: Less environmental noise can help the patient focus better on the conversation.

5. Use Visual Cues: Objects, photos, or gestures can aid in communication.

6. Validate their Feelings: Do not argue or correct their misconceptions routinely. Instead, validate their feelings to make them feel heard and safe. 

Always remember, your approach can impact the person's ability to communicate their thoughts and feelings effectively.","In the late stage of dementia, effective communication requires direct and clear car [1]. As the disease progresses, individuals may have greater difficulty communicating and require more assistance. To communicate better, use simple language and focus on one topic at a time. Avoid complex conversations or abstract ideas that may be difficult for them to understand.

[1]","[""Communication  in  the  middle  stage  \nThe  middle  stage  of  Alzheimer’s,  sometimes  referred  to  as  moderate  Alzheimer’s,  is  \ntypically\n \nthe\n \nlongest\n \nand\n \ncan\n \nlast\n \nfor\n \nmany\n \nyears.\n \nAs\n \nthe\n \ndisease\n \nprogresses,\n \nthe\n \nperson\n \nwill\n \nhave\n \ngreater\n \ndifficulty\n \ncommunicating\n \nand\n \nwill\n \nrequire\n \nmore\n \ndirect\n \ncar"", ""Read  and  share  this  infographic about  how  to  communicate  with  a  person  who  has  Alzheimer's  disease.  ●  Tell  people  who  visit  how  much  your  loved  one  can  \nunderstand.\n \nFor\n \nexample,\n \nif\n \nthe\n \nperson\n \nis\n \nstill\n \nin\n \nthe\n \nearly\n \nstage\n \nof\n \nAlzheimer’s,\n \nyou\n \nmight\n \nsay\n \nthat\n \nthey\n \ncan\n \nstill\n \nhave\n \na\n \nc"", ""In  the  early  stage  of  Alzheimer’s  disease,  sometimes  referred  to  \nas\n \nmild\n \nAlzheimer’s\n \nin\n \na\n \nmedical\n \ncontext,\n \nan\n \nindividual\n \nis\n \nstill\n \nable\n \nto\n \nparticipate\n \nin\n \nmeaningful\n \nconversation\n \nand\n \nengage\n \nin\n \nsocial\n \nactivities.\n \nHowever,\n \nhe\n \nor\n \nshe\n \nmay\n \nrepeat\n \nstories,\n \nfeel\n \noverwhelmed\n \nby\n \nexcess""]","[0.41084474325180054, 0.4500511884689331, 0.3900182545185089]","[""Changes in communication.pdf"", ""NIA.NIH.gov.pdf"", ""Changes in communication.pdf""]"
AA352,Continence,What are the appropriate hygiene practices I should utilize for a family member with dementia who is facing incontinence issues?,"Hygiene practices for a family member with dementia facing incontinence include:

1. Regular Toiletting: Encourage the individual to use the restroom regularly as this can decrease the risk of accidents.

2. Use of Incontinence Products: Use adult-diapers, absorbent briefs, or incontinence pads that can be worn under normal clothing.

3. Skincare: Cleanse the skin immediately after an accident to prevent skin infections and rashes. Mild soaps and warm water can be effective.

4. Hydration and Nutrition: Maintaining a healthy diet and promoting fluid intake can prevent constipation and urinary tract infections.

5. Personal Hygiene: Daily bathing may not be necessary and can dry out skin. Alternate between sponge baths and regular baths.

6. Bed Protection: Use bed protectors to guard the mattress. 

7. Laundry: Promptly wash soiled clothing and bedding.

8. Professional Help: Consult a healthcare professional for additional strategies and treatments. 

Remember, managing incontinence can be stressful for both parties, so maintaining empathy and patience is important.","When caring for a family member with dementia who is facing incontinence issues, it's essential to prioritize their emotional well-being. A supportive, patient, and reassuring approach can help alleviate feelings of shame or embarrassment [1]. Encourage open communication and avoid pointing out accidents, as this may lead to further distress. Instead, offer assistance and support when needed, such as helping with washing and dressing.

Supporting context indices:
[1] 5Continence","[""5Continence\nCommunication techniques for managing incontinence \nIf a person with dementia has been incontinent, it is important to \nbe supportive, patient and reassuring. They may feel ashamed or \nuncomfortable; or they might not realise they have lost control \nand feel embarrassed or upset when they notice or it is pointed \nout to them. \nIf possib"", ""9\nSupporting a person with washing and dressing\nSpace for  \nyour notes\nIncontinence is not an inevitable consequence of dementia. \nHowever, if it happens, it can be a sensitive issue for both of  \nyou. If the person has an accident, they may feel ashamed.  \nThey may refuse to admit that it has happened, or to wash \nafterwards. Try to be reassuring.""]","[0.4898575246334076, 0.4552997350692749]","[""dementia-uk-continence-leaflet.pdf"", ""Supporting-person-washing-dressing-504 (1).pdf""]"
AA397,Daily Care Plan,Could you suggest some strategies that would assist in maintaining regularity in daily routines for a person with dementia whom I am caring for?,"1. Maintain Consistency: Keep the same daily routine to help reinforce the person’s internal body clock.
2. Use Reminders: Visual cues like labels, signs, or photos can remind them of people's names or where items belong.
3. Promote Sleep Hygiene: Encourage regular sleep times and a consistent bedtime routine. Avoid caffeine and alcohol. 
4. Ensure Proper Nutrition: Regular, balanced meals can help maintain energy levels and overall health.
5. Encourage Regular Exercise: Physical activity can improve mood and sleep quality.
6. Eliminate Distractions: Limit noise and clutter to help them focus and reduce confusion.
7. Offer Choices: When possible, let the person choose what they want to wear or eat. It can enhance their sense of control.
8. Use Calendars and Clocks: These can help them keep track of time and upcoming tasks.
9. Limit multitasking: Keep activities simple and structured.
10. Patience and Reassurance: Ensure they feel secure and supported during forgetful episodes.","To maintain regularity in daily routines for a person with dementia, consider establishing a structured schedule and breaking down tasks into smaller steps [1]. This can help them feel more secure and in control. Additionally, involve the person in planning activities, allowing them to make choices and take ownership of their day [2]. Make time for self-care as well, as this can also benefit both the caregiver and the person with dementia.

Supporting context indices:
[1] Setting routines and reminders
[2] Daily routines can be helpful for both you — the caregiver — and the person living with Alzheimer's","[""Setting routines and reminders\nKeeping a routine can help people with dementia continue to do things on their own.\nOverview\nActivities such as dressing, grooming, bathing and eating can form a pattern in daily living. Routines\nhelp the person with dementia know what to expect, and help them continue to do things on their\nown. Doing so will make the"", ""Daily routines can be helpful for both you — the caregiver — and the\nperson living with Alzheimer's. A planned day allows you to spend less time\ntrying to ﬁgure out what to do, and more time on activities that provide\nmeaning and enjoyment.\nOrganizing the day\nRemember to make time for yourself, or include the person living with\ndementia in activiti"", ""Things to Consider When Planning Daily Activities\nThere are several primary things to consider when creating a daily care plan for a person with\ndementia, including:\nMedication schedule• \nPersonal care for ADL’s (bathing, dressing, oral hygiene, skin treatments, etc.)• \nPhysical exercise (stretching, walking, yoga, etc.)• \nSeasonal chores (such as ""]","[0.3974541127681732, 0.47420981526374817, 0.4651566743850708]","[""Setting routines and reminders _ Alzheimer Society of Canada.pdf"", ""Daily Care Plan _ Alzheimer_s Association-alz.org.pdf"", ""How to Create a Checklist and Daily Care Plan for Dementia _ Alzheimers.net.pdf""]"
